Altium Designer Pick and Place Locations
E:\Git\OMD\OMD_Hardware\Projects\OMD_CAN_F3_UWB R2\.\Pick Place\Pick Place for UWB_CAN_R2.txt

========================================================================================================================
File Design Information:

Date:       04/12/17
Time:       11:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                               Layer       Footprint            Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CAN1       JST_GH_H4                             TopLayer    JST_GH_H4            3639.559      5842.520      180      SM04B-GHS-TB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U3         CAN                                   TopLayer    SON65P300X100_HS-9N  3766.732      6105.512      270      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
R15        "RES SMD 120 OHM 5% 1/16W 0402"       TopLayer    R0402                3828.897      5981.300      360      "RES SMD 120 OHM 5% 1/16W 0402"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
R1         "RES SMD 120 OHM 5% 1/16W 0402"       TopLayer    R0402                3885.826      6037.559      90       "RES SMD 120 OHM 5% 1/16W 0402"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CAN        JST_GH_H4                             TopLayer    JST_GH_H4            3971.252      5842.520      180      SM04B-GHS-TB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C16        Cap                                   TopLayer    CAPC1005L            3316.930      6026.575      270      "CAP CER 1UF 6.3V X5R 0402"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
C17        Cap                                   TopLayer    CAPC2012L            3456.693      6097.442      90       Capacitor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C10        1u                                    TopLayer    0603-CAP             3541.338      6096.457      270      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C9         0.1u                                  TopLayer    0402-CAP             3312.992      6115.157      270      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C8         1u                                    TopLayer    0603-CAP             3256.890      6022.637      90       ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
X1         "Crystal Oscillator in SMD 1.6 x 1.2" TopLayer    OSCILLATOR-1.6x1.2   3969.488      6045.275      180      "CRYSTAL 24MHZ 8PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
